product name,price,period,plan name,plan desc,product URL
Slack + GitHub,$0,,Free,Your ultimate productivity pair,https://github.com/marketplace/slack-github
CodeFactor,$0,,Free,1 private repo. Unlimited users. Unlimited public repos.,https://github.com/marketplace/codefactor
CodeFactor,$19,month,Starter,5 private repos. Unlimited users. Unlimited public repos.,https://github.com/marketplace/codefactor
CodeFactor,$39,month,Team Free Trial,10 private repos. Unlimited users. Unlimited public repos.,https://github.com/marketplace/codefactor
CodeFactor,$79,month,Agency,20 private repos. Unlimited users. Unlimited public repos.,https://github.com/marketplace/codefactor
CodeFactor,$199,month,Enterprise,50 private repos. Unlimited users. Unlimited public repos.,https://github.com/marketplace/codefactor
Codecov,$0,,Open Source,Unlimited public repositories,https://github.com/marketplace/codecov
Codecov,"$6
per user",month,Umbrella Free Trial,Unlimited private repositories,https://github.com/marketplace/codecov
Coveralls,$0,,Open Source,Unlimited Open Source Repos,https://github.com/marketplace/coveralls
Coveralls,$5,month,Coveralls Solo,1 Repo,https://github.com/marketplace/coveralls
Coveralls,$25,month,Coveralls Org,10 Repos,https://github.com/marketplace/coveralls
Coveralls,$100,month,Coveralls Pro,Unlimited Repos,https://github.com/marketplace/coveralls
Code Climate,"$12
per seat",month,Code Climate Essentials,Everything small teams need to merge with confidence,https://github.com/marketplace/code-climate
Code Climate,"$20
per seat",month,Code Climate Standard,Technical debt reduction for teams of 20+,https://github.com/marketplace/code-climate
Better Code Hub,$0,,Free,For open source and non-commercial use,https://github.com/marketplace/better-code-hub
Better Code Hub,$9,month,Individual Free Trial,For personal accounts only,https://github.com/marketplace/better-code-hub
Better Code Hub,"$20
per user",month,Pro Free Trial,For organizational accounts,https://github.com/marketplace/better-code-hub
ImgBot,$0,,Always Free,Serverless FTW!,https://github.com/marketplace/imgbot
TestQuality,$0,,GitHub FREE Plan,Free for open source public GitHub Repos,https://github.com/marketplace/testquality
TestQuality,$50,month,5-User Private Repo Team Plan,GitHub Test Management for five users,https://github.com/marketplace/testquality
codebeat,$0,,Public,Free for open source projects,https://github.com/marketplace/codebeat
codebeat,"$20
per seat",month,Private,Unlimited private repositories,https://github.com/marketplace/codebeat
Sider,"$12
per seat",month,Standard Free Trial,Public & private repositories,https://github.com/marketplace/sider
LGTM,$0,,Open Source and Public Repositories,Free for open source projects and public repositories,https://github.com/marketplace/lgtm
Codacy,$0,,Open Source,Free for open source projects,https://github.com/marketplace/codacy
Codacy,"$18
per user",month,Pro,Unlimited private repositories,https://github.com/marketplace/codacy
Hound,$0,,Open Source,Free for public projects,https://github.com/marketplace/hound
Hound,$49,month,Chihuahua Free Trial,Up to 4 private projects,https://github.com/marketplace/hound
Hound,$149,month,Octodog,Up to 20 private projects,https://github.com/marketplace/hound
AccessLint,$0,,Open Source,Free for all public projects,https://github.com/marketplace/accesslint
AccessLint,$49,month,Unlimited Free Trial,Unlimited public and private projects,https://github.com/marketplace/accesslint
WIP,$0,,Free,"Block pull requests with ""WIP"" in title.",https://github.com/marketplace/wip
WIP,$1,month,Pro,Make it work with your workflow.,https://github.com/marketplace/wip
WIP,$10,month,Enterprise,For teams of 10 and more. Fair play.,https://github.com/marketplace/wip
Pull Reminders,$0,,Open Source,Non-commercial open source projects,https://github.com/marketplace/pull-reminders
Pull Reminders,$14,month,Startup Free Trial,Up to 7 developers,https://github.com/marketplace/pull-reminders
Pull Reminders,$49,month,Growth Free Trial,Up to 25 developers,https://github.com/marketplace/pull-reminders
Pull Reminders,$99,month,Scale Free Trial,Up to 75 developers,https://github.com/marketplace/pull-reminders
Cloud 66 Skycap,$49,month,Skycap Starter Plan Free Trial,This plan includes:,https://github.com/marketplace/cloud-66-skycap
Cloud 66 Skycap,$299,month,Skycap Growth Plan,This plan includes:,https://github.com/marketplace/cloud-66-skycap
Cloud 66 Skycap,$499,month,Skycap Pro Plan,This plan includes:,https://github.com/marketplace/cloud-66-skycap
Percy,$99,month,Lite,Percy visual testing and reviews,https://github.com/marketplace/percy
App Center,$0,,Free,Free for all projects,https://github.com/marketplace/app-center
App Center,$40,month,Startup,1 build concurrency with unlimited hours,https://github.com/marketplace/app-center
App Center,$80,month,Growth,2 builds concurrencies with unlimited hours,https://github.com/marketplace/app-center
App Center,$179,month,Enterprise,2 build concurrencies and 1 test device concurrency,https://github.com/marketplace/app-center
Cirrus CI,$0,,Public Repositories,Free CI for public repositories,https://github.com/marketplace/cirrus-ci
Cirrus CI,$10,month,Private Personal Repositories Free Trial,Affordable CI for private personal repositories,https://github.com/marketplace/cirrus-ci
Cirrus CI,"$10
per seat",month,Private Organization Repositories Free Trial,Orchestrating builds on Cloud Computing Services,https://github.com/marketplace/cirrus-ci
Semaphore,$0,,Open Source,We offer free CI/CD for Open Source projects with 4x parallelism.,https://github.com/marketplace/semaphore
Semaphore,$0,,Free for Small Projects,Free and unlimited plan for private repositories.,https://github.com/marketplace/semaphore
Semaphore,$69,month,Bootstrap,CI/CD with 2x parallelism for small teams.,https://github.com/marketplace/semaphore
Semaphore,$189,month,Startup,CI/CD with 4x parallelism for teams that are shipping regularly.,https://github.com/marketplace/semaphore
Semaphore,$299,month,Growth,CI/CD with 6x parallelism for growth stage companies.,https://github.com/marketplace/semaphore
Travis CI,$0,,Open Source,We offer free CI for Open Source projects,https://github.com/marketplace/travis-ci
Travis CI,$69,month,ONE Free Trial,"Unlimited builds, 1 job at a time. Ideal for hobby and small projects.",https://github.com/marketplace/travis-ci
